city,year,dec_percent_days_precipitation,dec_percent_days_extreme_precipitation,dec_percent_days_below_zero_degree,dec_minimum_daily_mean_temperature,dec_maximum_daily_mean_temperature,dec_median_daily_mean_temperature,dec_mean_temperature
Oslo,2022,80.6,16.1,100.0,-13.2,1.7,-5.0,-5.4
Oslo,2023,87.1,6.5,100.0,-15.1,1.5,-6.0,-6.5
Oslo,2024,93.5,6.5,77.4,-7.6,7.0,0.2,-0.3
Kristiansand,2022,87.1,6.5,74.2,-10.1,5.3,-0.3,-1.3
Kristiansand,2023,96.8,3.2,77.4,-8.0,8.2,0.0,0.1
Kristiansand,2024,93.5,6.5,35.5,-2.3,9.2,4.4,4.2
Stavanger,2022,74.2,3.2,58.1,-5.1,6.3,1.2,1.1
Stavanger,2023,71.0,9.7,54.8,-4.6,7.9,1.9,1.6
Stavanger,2024,93.5,12.9,16.1,-0.4,9.7,5.5,5.2
Bergen,2022,77.4,9.7,71.0,-5.9,5.7,-0.7,-0.4
Bergen,2023,83.9,12.9,71.0,-5.9,7.3,0.1,0.3
Bergen,2024,96.8,19.4,25.8,-1.3,9.0,4.2,4.2
Ålesund,2022,87.1,3.2,80.6,-7.2,5.9,0.0,-0.2
Ålesund,2023,80.6,12.9,80.6,-4.5,6.8,0.2,0.4
Ålesund,2024,93.5,16.1,29.0,-1.5,10.1,4.1,4.3
Trondheim,2022,87.1,9.7,96.8,-14.8,2.9,-3.5,-4.6
Trondheim,2023,67.7,12.9,87.1,-13.0,4.1,-4.7,-5.3
Trondheim,2024,93.5,19.4,64.5,-5.0,7.2,1.5,1.1
Bodø,2022,71.0,3.2,93.5,-9.0,2.5,-1.7,-2.0
Bodø,2023,58.1,6.5,90.3,-7.2,3.5,-3.6,-3.1
Bodø,2024,87.1,22.6,74.2,-7.0,5.5,-0.9,-0.2
Tromsø,2022,77.4,9.7,100.0,-10.4,0.7,-4.0,-4.1
Tromsø,2023,71.0,3.2,100.0,-8.7,0.7,-5.3,-5.0
Tromsø,2024,87.1,22.6,100.0,-10.3,3.1,-3.7,-3.2
Lillehammer,2022,87.1,12.9,100.0,-17.9,-1.5,-9.4,-8.9
Lillehammer,2023,74.2,9.7,100.0,-17.2,-1.1,-8.2,-8.9
Lillehammer,2024,64.5,12.9,96.8,-9.6,5.4,-3.5,-3.1
Alta,2022,77.4,12.9,100.0,-19.6,-1.9,-7.7,-8.4
Alta,2023,67.7,0.0,100.0,-15.5,-1.6,-10.3,-9.4
Alta,2024,93.5,6.5,96.8,-19.8,3.1,-5.4,-6.0
