city,year,jan_percent_days_precipitation,jan_percent_days_extreme_precipitation,jan_percent_days_below_zero_degree,jan_minimum_daily_mean_temperature,jan_maximum_daily_mean_temperature,jan_median_daily_mean_temperature,jan_mean_temperature
Oslo,2023,87.1,25.8,90.3,-13.1,2.9,-1.6,-2.7
Oslo,2024,74.2,16.1,100.0,-22.3,3.7,-5.5,-7.7
Oslo,2025,90.3,12.9,90.3,-13.5,2.3,-2.9,-3.4
Kristiansand,2023,93.5,25.8,61.3,-5.1,5.8,1.5,1.7
Kristiansand,2024,77.4,9.7,77.4,-14.8,6.3,-2.7,-2.6
Kristiansand,2025,93.5,9.7,64.5,-6.7,6.0,1.3,0.5
Stavanger,2023,96.8,3.2,29.0,-4.0,7.3,3.1,2.9
Stavanger,2024,83.9,9.7,64.5,-9.1,6.8,-0.7,-0.1
Stavanger,2025,87.1,6.5,45.2,-6.5,6.7,2.1,2.2
Bergen,2023,90.3,12.9,51.6,-4.6,6.2,1.3,1.8
Bergen,2024,71.0,6.5,64.5,-9.0,6.3,0.1,-0.5
Bergen,2025,77.4,6.5,58.1,-6.1,6.9,1.2,0.8
Ålesund,2023,87.1,9.7,48.4,-2.9,9.3,2.7,2.9
Ålesund,2024,93.5,12.9,45.2,-6.0,9.2,2.5,1.3
Ålesund,2025,77.4,6.5,48.4,-5.6,10.4,2.3,1.9
Trondheim,2023,80.6,9.7,74.2,-7.3,5.6,0.4,-0.2
Trondheim,2024,80.6,3.2,67.7,-14.5,6.1,-1.2,-2.8
Trondheim,2025,87.1,3.2,67.7,-10.0,7.0,-0.5,-1.1
Bodø,2023,83.9,6.5,90.3,-5.6,4.8,0.6,0.2
Bodø,2024,83.9,9.7,77.4,-12.2,5.2,-1.6,-2.7
Bodø,2025,77.4,9.7,77.4,-8.2,7.1,-1.2,-0.9
Tromsø,2023,83.9,16.1,96.8,-10.5,5.0,-1.2,-2.4
Tromsø,2024,74.2,29.0,96.8,-13.9,2.5,-6.8,-5.8
Tromsø,2025,74.2,19.4,93.5,-10.8,4.0,-4.1,-4.4
Lillehammer,2023,77.4,19.4,96.8,-16.0,1.1,-5.8,-5.9
Lillehammer,2024,61.3,9.7,100.0,-20.3,2.0,-7.2,-8.0
Lillehammer,2025,67.7,6.5,100.0,-13.5,1.8,-5.5,-5.5
Alta,2023,93.5,6.5,100.0,-14.2,0.9,-5.8,-6.1
Alta,2024,74.2,16.1,100.0,-21.7,2.0,-11.9,-10.5
Alta,2025,83.9,12.9,93.5,-20.6,4.3,-7.2,-7.9
