city,year,feb_percent_days_precipitation,feb_percent_days_extreme_precipitation,feb_percent_days_below_zero_degree,feb_minimum_daily_mean_temperature,feb_maximum_daily_mean_temperature,feb_median_daily_mean_temperature,feb_mean_temperature
Oslo,2023,75.0,10.7,96.4,-6.8,2.9,-1.1,-1.3
Oslo,2024,93.1,13.8,79.3,-15.0,3.2,-0.9,-2.7
Oslo,2025,78.6,7.1,78.6,-9.2,3.4,-4.7,-3.2
Kristiansand,2023,67.9,10.7,39.3,-0.6,6.5,3.6,3.3
Kristiansand,2024,100.0,10.3,51.7,-5.1,8.2,2.0,1.3
Kristiansand,2025,85.7,14.3,60.7,-6.8,5.6,0.7,0.6
Stavanger,2023,92.9,14.3,28.6,0.8,7.2,4.6,4.3
Stavanger,2024,100.0,24.1,34.5,-3.9,7.0,4.1,3.1
Stavanger,2025,82.1,10.7,46.4,-5.6,9.0,2.5,2.5
Bergen,2023,85.7,17.9,39.3,0.2,6.5,3.4,3.3
Bergen,2024,100.0,20.7,34.5,-5.4,6.5,2.8,1.8
Bergen,2025,64.3,10.7,53.6,-5.3,8.8,1.6,1.9
Ålesund,2023,92.9,7.1,46.4,-1.3,7.8,3.3,3.2
Ålesund,2024,89.7,17.2,34.5,-5.1,6.1,2.8,1.9
Ålesund,2025,64.3,0.0,42.9,-3.7,11.0,3.5,3.4
Trondheim,2023,96.4,25.0,85.7,-6.9,6.4,0.1,0.1
Trondheim,2024,75.9,6.9,79.3,-10.1,5.4,0.2,-1.2
Trondheim,2025,71.4,10.7,71.4,-8.0,7.2,-0.1,0.5
Bodø,2023,82.1,10.7,67.9,-6.4,5.9,0.5,0.6
Bodø,2024,86.2,3.4,69.0,-6.7,4.8,-1.3,-1.1
Bodø,2025,89.3,3.6,57.1,-6.2,7.3,1.7,1.2
Tromsø,2023,92.9,25.0,92.9,-9.1,4.3,-1.6,-1.5
Tromsø,2024,79.3,6.9,96.6,-11.4,3.8,-3.8,-3.7
Tromsø,2025,89.3,14.3,75.0,-7.5,5.7,0.2,-0.1
Lillehammer,2023,67.9,10.7,100.0,-9.0,2.1,-4.0,-3.8
Lillehammer,2024,75.9,13.8,100.0,-18.0,1.2,-4.8,-5.6
Lillehammer,2025,60.7,7.1,96.4,-11.0,1.9,-5.7,-4.7
Alta,2023,96.4,17.9,100.0,-17.7,2.7,-2.9,-4.7
Alta,2024,65.5,13.8,96.6,-19.7,2.4,-5.9,-7.6
Alta,2025,85.7,7.1,89.3,-16.5,5.5,-2.1,-2.6
